,NameSpe,Price,OldP,Discount,RatNo,oldP
132,"Infinix Note 8i, 6.95"", 64GB + 4GB RAM (Dual SIM), Obsidian Black","KSh 16,090","KSh 25,999",38%,4 out of 5(1),
133,"Infinix NOTE 7 Lite, 6.6"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Grey","KSh 15,499","KSh 17,999",14%,4.6 out of 5(5),
134,"Oppo A1K, 6.1"", 32GB+2GB, Dual SIM - Red +FREE Fancy Cover & Selfie Stick","KSh 11,999","KSh 18,000",33%,4.1 out of 5(7),
135,"Tecno Spark 5 Air,7.0"",13MP,2GB+32GB,5000MAh,VACATION BLUE+Free SelfieStick&PopSocket.","KSh 12,999","KSh 20,000",35%,4.7 out of 5(7),
136,,,,,,
137,,,,,,
138,,,,,,
139,,,,,,
140,,,,,,
141,,,,,,
142,,,,,,
143,,,,,,
144,"Cubot P40, 6.2"", 4GB + 128GB, (Dual SIM) Quad Camera Android 10 NFC 20MP Selfie- Green","KSh 13,090","KSh 13,750",5%,4.7 out of 5(7),
145,"XIAOMI Redmi 9A 6.53"" 2GB + 32GB ( Dual Sim) 4G LTE -  Gray","KSh 9,999","KSh 15,000",33%,4.5 out of 5(13),
146,"Nokia C1, 5.45"", 1GB +16GB - (DUAL SIM),Android 9 Pie, Charcoal + FREE OTG","KSh 6,389","KSh 10,999",42%,4.5 out of 5(48),
147,"Tecno Spark 4, 32GB + 2GB 4G, 6.52"", Dual SIM, Vacation Blue","KSh 10,980","KSh 20,000",45%,4.7 out of 5(22),
148,"Samsung Galaxy A10s 6.2"" - 32GB + 2GB - Dual Sim, 4G - BLUE + FREE STYLISH COVER & RING","KSh 13,999","KSh 18,000",22%,4.9 out of 5(7),
149,"X Tigi V8, 4.0"", 8 GB +1 GB RAM, Dual SIM, 2000mAh - Black","KSh 3,999","KSh 5,999",33%,3.9 out of 5(49),
150,"Cubot X19, 5.93 Inch, 4 GB RAM + 64 GB, (Dual SIM) - Black","KSh 9,900","KSh 10,999",10%,4.1 out of 5(137),
151,"Infinix Smart 5, 32GB + 2GB RAM, 6.6"", (Dual SIM), Midnight Black","KSh 10,950","KSh 15,000",27%,4.6 out of 5(8),
152,"SuperD C1001  5.5"" FHD DISPLAY 3 GB RAM , 32GB ROM - (DUAL SIM) - GOLD","KSh 6,999","KSh 12,000",42%,3.3 out of 5(18),
153,"XIAOMI Redmi Note 8 Pro - 6.53"" - 6GB, 128GB, Dual SIM - Blue","KSh 23,499","KSh 24,499",4%,4.6 out of 5(25),
154,Generic Cartoon Music Mobile Phone Glowing Children'S Educational Toys Multicolor,KSh 57,KSh 114,50%,3.5 out of 5(2),
155,"Itel A14, 4.0"", 512 MB + 8 GB, (Dual SIM), 1500mAh - Elegant Black","KSh 3,499","KSh 4,000",13%,4.3 out of 5(3),
156,Nokia 105 - Black - Dual sim,"KSh 1,620","KSh 1,634",1%,4.4 out of 5(194),
157,"XIAOMI Redmi Note 9 Pro 6.67"" 64MP 6GB 128GB 4G LTE Smartphone - Grey","KSh 25,999","KSh 27,999",7%,4.4 out of 5(33),
158,"Oppo A5s, 6.2"", 32GB + 3GB (DUAL SIM) 4G Blue+ FREE OTG+SELFIE STICK","KSh 14,497","KSh 25,000",42%,4.7 out of 5(10),
159,"Bontel L400 1.77""Screen,Big Speaker,Power Bank Option, 1000 mAh - Green",KSh 950,"KSh 1,777",47%,3.8 out of 5(24),
160,"X Tigi 3308 Super Tiny & World Smallest Phone - Dual Sim, Fm Radio, Bluetooth Dial","KSh 1,709","KSh 2,999",43%,4.6 out of 5(7),
161,"Redmi 9 , 6.53""  4GB RAM+64GB ROM ,quad Camera, 4G LTE , Grey","KSh 15,499","KSh 17,999",14%,5 out of 5(1),
162,"Tecno Camon 15, 6.6"" - 4GB+64GB- 48MP Camera- 4G-5000mAh- Gold+ FREE Headset","KSh 15,399","KSh 24,999",38%,5 out of 5(6),
163,"Itel A36, 16GB + 1GB, 5.5” HD+ IPS FullScreen, Android, BLUE + FREE BLUETOOTH HEADSET","KSh 6,500","KSh 8,000",19%,4.5 out of 5(4),
164,"Tecno Pop 4, 6.0"",2GB+32GB, 3G (Dual) 5000MAh-Green + FREE BLUETOOTH EARPHONES + WATCH","KSh 9,100","KSh 9,500",4%,,
165,"Cubot Note 7, 5.5 Inches,4G LTE,2GB + 16GB,3100mAh  (Dual SIM),Triple Camera -Green","KSh 7,150","KSh 8,250",13%,4.5 out of 5(2),
166,"Huawei Y6p, 6.3"", 64GB/3GB-(Dual SIM)-Emerald Green+Free Gifts","KSh 15,198","KSh 18,000",16%,4.6 out of 5(8),
167,"Infinix NOTE 7, 6.95"", 6GB + 128GB (Dual SIM), 5000mAh - Aether Black","KSh 21,270","KSh 40,000",47%,4.5 out of 5(19),
168,"Ulefone S11, 6.1"", 1GB RAM + 16GB (Dual SIM), 3500mAh, Gold","KSh 6,299","KSh 7,199",13%,3.3 out of 5(13),
169,"Tecno T402 - Triple SIM Cards, Memory Card Slot, Wireless FM+Free Earphones - Black","KSh 1,990","KSh 2,899",31%,4.2 out of 5(19),
170,"Huawei Nova 7i, 6.4""-8GB/128GB-4200MAh-Sakura Pink+FREE GIFTS","KSh 29,999","KSh 42,000",29%,5 out of 5(3),
171,"Apple IPhone 7, 128GB + 2GB RAM (Single SIM) 4G/LTE - Black","KSh 30,899","KSh 49,999",38%,4 out of 5(3),
172,"Nokia 105 (2019) 1.77"" (Dual SIM) - Black + FREE Stereo Earphones","KSh 1,850","KSh 3,300",44%,4 out of 5(3),
173,"Tecno Pop 2 Plus, 6"" 16GB+1GB, 5000mAh, (Dual Sim) _ Nebula Black","KSh 7,499","KSh 9,999",25%,4.3 out of 5(6),
174,"Samsung Galaxy A10S,6.2"",32GB+2GB(Dual SIM),Blue-Free SelfieStick,Backcover,OTG Cable","KSh 13,820","KSh 19,999",31%,4.9 out of 5(7),
175,Itel A14 - 4.0“ - 8GB ROM - 512MB RAM - Dual Sim _black Plus Free Bluetooth Headset,"KSh 3,799","KSh 4,999",24%,3 out of 5(3),
176,"Tesla 6.3, 5"", 32GB + 3GB (Dual SIM), Black","KSh 6,500","KSh 10,000",35%,3.9 out of 5(39),
177,"XIAOMI Redmi Note 8 Pro - 6.53"" - (6GB, 64GB) - 4500mAh - Dual SIM - Blue","KSh 19,499","KSh 20,999",7%,4.5 out of 5(45),
178,"Tecno POP 2 F, 5.5'', 16GB + 1GB (Dual SIM),Gold","KSh 6,595","KSh 8,986",27%,4 out of 5(31),
179,"XIAOMI Redmi 9A 6.53""Display 2GB RAM+ 32GB ROM ( Dual Sim) 4G LTE - Granite Gray","KSh 9,999","KSh 14,999",33%,4.4 out of 5(8),
180,"Cubot R15 Pro - 6.26"" - 3 GB + 32 GB -Stock Android 9.0 - (Dual SIM) - Black","KSh 8,800","KSh 9,999",12%,3.9 out of 5(189),
181,"Tecno Spark 4 - 6.52""Display, 2GB +32GB,..13MP + 8MP,,, 4000mAh, 4G,--Dual Sim -Blue","KSh 10,888","KSh 10,900",1%,4.8 out of 5(12),
182,Generic Fixed Wireless Desk Phone SIM Card Home Office Desktop Phone,"KSh 1,719","KSh 3,438",50%,4.3 out of 5(3),
183,"Samsung Galaxy M31, 6.4"", 128GB + 6GB RAM (Dual SIM), 6000mAh, Black","KSh 25,690","KSh 35,000",27%,4.5 out of 5(33),
184,,,,,,
185,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,,
190,,,,,,
191,,,,,,
192,"X Tigi V29pro - 6.1""- 32GB+2GB- 8MP- 4000mah - Dual SIM- Black","KSh 7,999","KSh 9,999",20%,,
193,"Oppo A1k, 6.1"", 32 GB + 2 GB, 4000 MAh (Dual SIM) - Red +FREE SELFIESTICK","KSh 11,199","KSh 17,999",38%,,
194,Apple IPhone 6 4.7-Inch 1G+16G  8MP 4G LTE Smartphone–Gold,"KSh 13,700","KSh 26,863",49%,4.6 out of 5(7),
195,XIAOMI Mi Piston In-Ear Earphones Headphones Headset Black,KSh 797,KSh 897,11%,4.7 out of 5(37),
196,"Huawei Y6s, 6.09"",64GB+3GB RAM(Dual SIM),-Blue+Free Selfie Stick, Back Cover, OTG Cable","KSh 12,895","KSh 17,999",28%,3.9 out of 5(8),
